title,area,construction_year,rooms,total_price,floor,elevator,parking,warehouse,price,token
آپارتمان۵۲متر۱خواب‌ سنددار‌ مترو‌ دریاچه چیتگر,52,1402,1,"1,500,000,000 twmn",6,True,True,True,1500000000,QZECwALF
۷۹ متر دوخوابه_شهرک,79,1386,2,"5,300,000,000 twmn",6,True,True,True,5299999744,QZF69-m2
۷۳ متری دو خوابه جنوبی _ شهرک _ ویو دار,73,1387,2,"5,800,000,000 twmn",6,True,True,True,5800000000,QZEiQHgs
۴۹متری غرق نور_سندتکبرگ_پارکینگ اختصاصی,49,1399,1,"10,800,000,000 twmn",3,True,True,True,10800000000,QZFqZz5-
آپارتمان۱۰۰متردوخواب،چیتگر،کوهک،اردستانی،وام,100,1402,2,"3,000,000,000 twmn",10,True,True,True,3000000000,QZCOe2Xn
69 متر ویو کوه آبشار تهران فول امکانات دسترسی راحت,69,1385,1,"5,100,000,000 twmn",6,True,True,True,5100000256,QZDuOZTg
فروش آپارتمان ۱۲۷ دوخوابه,127,1382,2,"7,600,000,000 twmn",3,False,True,True,7600000000,QZDqBI06
73 متر دوخوابه ویو جنوبی شهرک راه آهن,73,1388,2,"5,200,000,000 twmn",4,True,True,True,5200000000,QZBazSL8
اپارتمان۱۲۷ متر دو خواب شهرک امید دژبان_ابشارتهران,127,1387,2,"7,100,000,000 twmn",3,False,True,True,7100000256,QZBmOg4H
فروش واحد هفتاد متری دوخوابه_ شهرک,70,1388,2,"4,800,000,000 twmn",1,True,True,True,4800000000,QZCa9vrW
۷۹ متری دو خوابه فول امکانات شهرک راه آهن_,79,1388,2,"5,500,000,000 twmn",4,True,True,True,5500000256,QZB2Zxok
69مترشهرک آبشارتهران هاشم‌زاده شمالی راه آهن,69,1387,1,"4,970,000,000 twmn",7,True,True,True,4969999872,QZZ1arrw
هفتاد و سه متری دوخوابه شهرک راه آهن_نمونه,73,1388,2,"5,100,000,000 twmn",3,True,True,True,5100000256,QZBGj-l_
اپارتمان۷۳ متری دو خواب ویو دریاچه ابشارتهران,73,1388,2,"5,300,000,000 twmn",4,True,True,True,5299999744,QZAiJVNE
هشتاد متر دوخوابه,80,1387,2,"5,500,000,000 twmn",1,True,True,True,5500000256,QZAqGse9
73متر خوش نقشه سندشخصی,73,1387,2,"6,000,000,000 twmn",4,True,True,True,6000000000,QZY1EiMY
فول امکانات شهرک نمونه_ هفتادوشش متر,76,1386,2,"6,000,000,000 twmn",5,True,True,True,6000000000,QZBOvas2
اپارتمان۷۸ متری دو خواب فول _ابشارتهران_شهرک,78,1387,2,"5,500,000,000 twmn",1,True,True,True,5500000256,QZAG5WoW
یکصد و بیست و هشت متر دوخوابه آبشار تهران,128,1387,2,"7,100,000,000 twmn",3,False,True,True,7100000256,QZAiGKej
